,caption
71,"Beach Clean Up - Clean Up No. 50
Kolaborasi Trash Hero Kuantan & MISA (UIA) 
Lokasi: Pantai Teluk Cempedak
Tarikh: 13.11.2022 

Jenis sampah yang dikutip: 
• Kebanyakkan sampah piknik yang ditinggalkan pengunjung (bekas McD, Starbucks, KFC)
• Pelitup muka
• Kotak rokok dan puntung rokok
• Beg plastik 
• Polisterin 

Berat sampah yang dikutip: Anggaran 37 kg 

Bilangan wira: 11 dewasa 

Kami amat bersyukur cuaca baik pada pagi clean up walaupun dah berhari-hari hujan di Kuantan. Ramai saja pengunjung ke Pantai Teluk Cempedak. Semuanya dah sampai awal pagi lagi. Ada yang siap bercamping malam juga. 

Abang² dan Kakak² Alam Flora pun dah sampai cukup awal. Sampah² piknik yang dikutip baru lagi - terbiar oleh pengunjung yang tidak bertanggungjawab. Monyet² pun keluar pagi² nak kacau² sampah tu sebab semua bekas makanan dan minuman dengan makanan separuh dimakan tu dibiar begitu saja. 

Walaupun bukan sampah kita, sama² kita tolong bersihkan area pantai (dari jambatan Bay 2 sehingga ke @hyattregencykuantanresort) dan kawasan² awam serta jalan² berdekatan. 

Terima kasih kepada semua sukarelawan yang turut serta pada hari Ahad lalu, pelajar² dari @misaiiumk dan pihak Alam Flora yang telah menolong dengan pengangkutan beg² sampah dalam lori mereka 🙏💛 

Jika anda ingin turut serta dalam sesi gotong-royong kami, sila pantau FB dan IG Trash Hero Kuantan untuk butir² lanjut. 

Jika anda ingin mendermakan peralatan seperti penyepit sampah ('pickers') / guni sampah / tshirt untuk sukarelawan / alat tulis untuk Kids Program (atau apa² yang akan membantu aktiviti² Trash Hero Kuantan) sila DM kami di sini. 

Segala pertolongan amat dialu-alukan. 
Dan kalau boleh, tolong share post ini.
Terima kasih 🙏💛 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopplasticpollution #plasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #climatechange #climateaction #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #hyattregency #alamflora #pantaitelukcempedak #telukcempedak #responsibledisposal #trashherokuantan #trashheromalaysia #trashheroworld"
72,"We’re making our rounds on Melbourne Beach 💪

We’ve removed just over 50lbs of debris and are just getting started. If you see us out there stop by and say hello 🤙
.
.
.
.
.
.
.
.
.

#wehateplastic #oceancleanup #beachwalk #beachcleanup #beachcleanups #beachplastic #savetheocean #savetheoceanlife #microplastics #microplastic #recycle #plasticpollution #plasticsucks
#beachtrash #oceantrash #fridayvibes #beachlife #surfing #surfersjournal #hurricanenicole"
73,"another one in the books! thank you to all of the volunteers that came out yesterday to help at our beach cleanup. picked up countless aluminum cans and corn on the cob. a total of 78lbs of trash removed from our shores in just one hour. hopefully the weather allows us to continue our cleanup’s through the end of november. stay tuned🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches #itscorn"
74,"the numbers are in! our volunteers removed 249 pounds of garbage from our coastline in october. want to help make a difference? join us tomorrow at our next beach cleanup. let’s see what we can do in november while this weather allows🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
75,"Another incredible month of work by both our river wardens and reclaimers. A total of 6240kg of plastic was removed from the rivers and sent for recycling PLUS a further 6501kg of waste was removed and sent to landfill. 
.
.
We're growing our teams for the summer and are looking forward to making an even greater impact on the health of our river systems and ultimately our ocean. 
.
.
If you would like to find out more about how to get involved, please email us at info@thelitterboomproject.com 
.
.
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean"
76,"One of our planet repair projects, Empower, makes a global impact by cleaning up plastic waste from nature and communities. One of the over 60 local partner collection organisations is Better and Clean Future Tanzania (BCFT). They work with Empower to incentivise local waste collectors and improve plastic waste pollution in Arusha, Tanzania. BCFT has collected waste since 2019, steadily increasing the amount every month totalling now over 160,000 kg! They do great work supporting the local community while improving their social, economic, and environmental wellbeing. To be part of the change explore how Pinwheel can direct your corporate sustainability funding to support projects like plastic clean up in Tanzania www.pinwheel.earth 

#PlasticPollution #PlasticCleanUp #OceanCleanUp #OceanConservation #PlasticCrisis #PlasticFreeSeas"
77,"That's 8,000,000,000 kg. 
.
.
.
#environment #savetheplanet #oceanlove #savetheocean #environmental #gaming #esports #gamingindustry #environmentallyfriendly #oceanplastic #oceancleanup"
78,"These shocking images of the ocean plastic crisis were captured by @4ocean cleanup crews just days ago off the west coast of Haiti 🇭🇹 

Huge patches of plastic pollution like this are created by the stirring of ocean currents.

They have collected 2,222 pounds of trash from this patch within just a few hours and will absolutely be back to collect more!"
79,"Beach clean-ups are important to raise the awareness and educate generations, but they are only the first step. ☝️

Why? Because of what it stands for: hope, effort and community. 💪 

In August, our community rallied together to clean up a local beach and we picked up an astounding 237 kg in 1 hour! Can you believe that? 🤯 Let that sink in. ✨ 

If you don't have any beaches in your home town, but want to help, send us a DM and we can share some tips on how you can help make a difference in your own way. 📩"
80,"Pilbara Dive and Tours is a finalist in the 2022 Keep Australia Beautiful WA (KABWA) Community Awards in the category of Litter Prevention & Waste Management.  We were selected because of our regular clean up days which target both below and above the water including the Pilbara Conservation and Clean Up held in May of this year in conjunction with KABWA.

Thank to all the volunteers who have helped in these clean up days because without you we wouldn't have removed over 400kg of rubbish and marine debris from our local waterways and beaches.

Photos are from our clean up in May 2022.  #keepaustraliabeautiful #take3forthesea #beachcleanup #padiaware #dampier #cityofkarratha #oceancleanup #plasticfreeoceans #communityawards"
81,"WWF reports that South Africa generates 2.4 million tons of plastic waste every year, equivalent to 41kg of plastic waste per citizen and only 14% of this plastic thrown into bins is recycled.
.
.
Make one change today, recycle your plastic waste. 
.
.
#Parley #ParleyAir #ParleyForTheOceans #OceanConservation #OceanPollution #OceanCleanUp #RiverPollution #RiverConservation #Pollution #StopPollution #PlasticPollution #EndPlasticPollution #StopPlasticPollution #Recycle #Litter #CleanUp #GreenFuture #ConsciousLiving #Environment #SaveOurPlanet #PlasticBottle #Plastics #PlasticFreeLiving #PlasticWaste #PlasticOcean #TipTuesday #TuesdayMotivation #TuesdayThoughts"
82,"Is this really how we treat the planet….it’s the sad reality I’m afraid. I refuse to get down about it tho, it just motivates me even more. 

Heavy HAULIN’ on todays beach clean, a fraction over 100kgs, loads of bottles as always and the vast majority of the weight was a mix of ghost nets and various bits of fishing gear. 

Full of cold and really not feeling it today but after the recent storms I knew it would need some love. (Was gutted to miss the @seashepherduk clean up yesterday) 

Luckiest man ever finding a sponsor who pays for a clean up each month, courtesy of the awesome @greenfolkltd 🙏🤙. 
(More in stories) catch ya later people x 

#beachclean #plasticpollution #dorsetcoast #jurassic #jurassiccoast #flotsamandjetsam #drowninginplastic #plastic #recycling #beachcleanup #oceancleanup #green #conciousness #consumer #mindfulliving #home #earth #ocean #oceanactivist #reducereuserecycle"
83,"Ends midnight tonight!
For every order we receive before midnight tonight we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving #oceanconservation #oceancleanup #oceanplastic"
84,"such a great late october cleanup crew. these volunteers helped remove another 45lbs of trash from our shores. bottles caps, plastic spoons and aluminum cans were the big winners yesterday. and thank you to the @molloycheer team for joining us! see everyone next week🎃

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches #sundayfunday"
85,"🇬🇧Cleaning of the Larvotto Marine Protected Area - 2022

The seabeds of the Larvotto Marine Protected Area as well as the beach were cleaned on Saturday October 08 thanks to the involvement of 27 divers from the AMPN and the Club d’Exploration Sous-Marine de Monaco (CESMM) and 6 ground volunteers. In total, 75kg of marine litter was collected as well as 3kg of land litter consisting mainly of cigarette butts. Some waste could have been avoided by adopting more responsible behavior!

A big THANKS to the entire team of divers from the Club d'Exploration Sous-Marine de Monaco for their permanent involvement and to the other volunteers who took part in this operation.
 
THANK YOU also to the Société Monégasque d'Assainissement (@greenmonaco_by_sma ) for providing the waste collection bin and the scale as well as for the presence of the jet-ski to collect the bags brought back by the divers.

🇫🇷Nettoyage de l'Aire Marine Protégée du Larvotto - 2022
Les fonds de l'Aire Marine Protégée du Larvotto ainsi que la plage ont été nettoyés samedi 08 octobre grâce à l’implication de 27 plongeurs l’AMPN et du Club d’Exploration Sous-Marine de Monaco (CESMM) et de 6 bénévoles “terrestres”. Au total, ce sont 75kg de déchets marins qui ont été récoltés ainsi que 3kg de déchets terrestres constitués essentiellement de mégots de cigarettes. Certains déchets auraient pu être évités en adoptant des comportements plus responsables !

Un grand MERCI à toute l'équipe des plongeurs du Club d’Exploration Sous-Marine de Monaco pour leur implication permanente et aux autres bénévoles qui ont participé à cette opération.
 
MERCI également à la Société Monégasque d'Assainissement (@greenmonaco_by_sma ) pour la mise à disposition du bac de récupération des déchets et de la balance ainsi que pour la présence du jet-ski permettant de récupérer les sacs rapportés par les plongeurs. 
.
.
.
#AMPN #ProtectOcean #StopPlasticPollution #TogetherPossible #savetheplanet #cleanup #beachcleanup #oceancleanup"
86,"Last day of our ocean cleaning special weekend. 🌊
For every order we receive before midnight tonight we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving #oceanconservation #oceancleanup #oceanplastic"
87,"Each product sold this weekend will help fund the clean up of 1kg of ocean bound plastic. 

Automatically added at checkout. 

Ends midnight 23rd October. 

Why not treat yourself and the planet 🌎🤷🏼‍♂️

Link in bio 🌎

MANYMOODS.CO.UK

#brands #sustainablebrand #promotion #ocean #oceanboundplastic #oceancleanup #1tee1kg #treatyourself #plasticfree #organic #plasticfreepackaging #sustainability #sustainablegifting #sustainablegifts #giftideas #christmasgiftideas #ecofriendly #recyclableproducts #positivity #loveourplanet #animals #manymoods"
88,"1 Tee = 1 kg this weekend! For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
89,"For every order this weekend we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving #oceanconservation #oceancleanup #oceanplastic"
90,"Are you planning to hold a clean-up in your local community? If so, we would love to showcase your work over here on our page! 🙂 You can tag us @plastictides or send us a DM. 
——
Plastic Tides held its first beach clean-up in Hampton Roads this past weekend. The beach clean-up helped to raise awareness in the community. Local volunteers helped to prevent 12.6 pounds of trash from polluting the surrounding environment. No amount of effort goes unnoticed to the environment! You can do it! 🌊🌲🪸🍄🌻🌈☀️ Learn more by visiting the link in bio. 
——
#LiveUpStream

#BeachClean #BeachCleanups #oceancleanup #virginiabeach #virginiabeachva #virginiabeachcleanup #PlasticTides #Plastic #Pollution #plasticpollution #chesapeakebay #chesapeakebayfoundation #lynnhavenrivernow #lafayettewetlandspartnership #CleanTheBay #PickupTrash #wecandoit"
91,"Starts today!
1 Tee = 1 kg this weekend! 
For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
92,Every order this weekend results in the clear up of 1kg of plastics from the ocean🌊🌊🌊
93,"Starts 9 am today!
1 Tee = 1 kg this weekend! For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
94,"1 Tee = 1 kg this weekend! For every order we will remove 1kg of ocean plastic.

#mygarden #sustainability #mygardenismyhappyplace #garden #gardening #petalandleaf #giftsforgardeners #sustainablefashion #gardeningtshirts #gardeninggifts #sustainableliving @teemillstore #oceanconservation #oceancleanup #oceanplastic"
95,"teamwork with the crew to organize all of the trash removed during our beach cleanup🤙🏼 this day we removed over 60 pounds!

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
96,"✖️Sea World Ocean Clean Up Day

✖️ #seaworldaus recently held another successful Sea World Foundation Ocean Clean Up Day! 🙌

🗑 Volunteers collected over 170 bags of rubbish equating to 400kgs of rubbish removed from above and below the water.
🎣 Incredibly, 43.5kg of fishing line, hooks and sinkers were removed from the seaway by 126 divers. 

Thank you to everyone who attended and continue to support the Sea World Foundation!"
97,"Imagine....

what we can achieve together. 

Every single order placed on our site from Friday 21st to midnight on Sunday 23rd gets 1kg... yes 1kg of plastic removed from our oceans. 

We will be posting images of this event so you can see the fantastic work being done and what you have contributed towards. 

Link in bio to our site. 

#oceancleanup #ocean #sea #plastic #ecofriendly #environmentallyfriendly #environment #environmental #fashion #mensfashion #clothing #sustainable #sustainablefashion #vegan #womensclothing #kidsclothing #wildlife #nature #savewildlife #saveourseas #plasticfree #savetheearth #recycle #reuse #singleuseplastic #love #weekend #weekendvibes"
98,"Another successful dive of pulling 550 feet of fishing line, just under 100 lbs of toxic lead fishing weights, and random objects like a small radio, cans, spark plugs, and other trash items!

With help from Island Divers Hawai'i, Oahu's Spitting Caves was relieved of toxic fishing debris. 🎉

Head to the link in bio to read all about it!

--
#oceandefenders #debrisfreesea #hawaii #oahu #oceancleanup#fishingrope #ghostgear #brilliant #cleanup #marineconservation #sealife #saveourseas #turningthetide #plasticocean #plasticpollution #solution #nobluenogreen #oceanlove"
99,"Take a look at some photos from yesterday's cleanup in Foster City at the Metro Center! 

Collectively,  24 lbs of trash, 8 lbs of recycling, and ~5400 cigarette butts were collected. Amazing work everyone! 

If you want to join the next Foster City cleanup, or any other PBC-led events, check out our monthly calendar tab in the link in our bio.
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
100,"Our mood when we hear that @twolittlefirecrackers @secretharbourcoastalcrew spent this weekend at the WA Beach Cleanup. ⁠
Together they removed 46kg of rubbish from our ocean shores and surrounds 👏🏼⁠
⁠
We love our community getting involved to make a difference #forcleanoceans 💙⁠
⁠
#pipinghotaustralia #groms #oceancleanup #oceanlover #beachcleanup #wabeachcleanup #beachlife #plasticfreemums #zerowaste #targetaustralia"
101,"another 68lbs cleaned off our beaches. unfortunately we filled way too many bags with styrofoam from the construction in the background. happy to keep that out of our oceans. finally a big thank you to the molloy university honor students for stopping by to help out. hope to see you at more events

see everyone next saturday 🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches @molloy_u"
102,"The ocean thanks you🦭🦀🐙🪸🌊

Thank you to all the divers and free divers who joined us in cleaning up the Yacht club.
Loads of rubbish made its way out of the water, 17.1kgs💪 Every little bit adds up 🙃

Well done guys 👍 

📸@tariqnortje

#oceancleanup #diveagainstdebris #falsebaycleanup #PADIAware #ocean #falsebayyatchclub #togetherwecanmakeadifference #plasticfree #saveouroceans #sealifedifferently #piscesdivers"
103,"Another fantastic turnout and team effort at today's WA Beach Clean Up Day organised by Tangaroa Blue. 68 Storm Chasers and helpers from the public hit our coastline hard and cleared a total of 35km of beach and estuary  collecting a combined 120kg of litter and rubbish. What a great effort everyone - thank you!
Also a massive shout out to our sponsors of TRONOX and @cityofbunbury for supporting the crew with a hearty home cooked breakfast, tea & coffee and collection equipment. Mayor Jaysen Miguel was at the forefront of the BBQ to make sure no one goes home hungry.

The Storm Chasers continue to be active and we can all make a big difference. To get in touch and learn more what you can do please visit https://dolphindiscovery.com.au/bunbury-dolphin-discovery-environment-fund/

#sevenregionalwa #tangaroablue #keepaustraliabeautiful #cityofbunbury #bunbury #coastalcleanup #makeadifference #savedolphins #turtles #environment #oceancleanup"
104,"God loves the beaches and the ocean He’s created - we do too! ⁠
Excited to announce that we have partnered with Cleanhub to help reduce the plastic waste problem that pollutes our waters. For each order, we committed to funding the collection and responsible processing of1kg of ocean-bound plastic waste. On average that’s 50x more plastic than we use! ⁠
⁠
We’re working on a shirt design with this in mind so stay tuned ;)"
105,"After four different cleanups of Dragon's Teeth, we brought up 113 pounds, 143 pounds, 95 pounds, & 178 pounds of derelict fishing equipment!

With help from Maui Mantas & Dive Maui, some of Maui's corals were finally relieved of strangling fishing line. 🎉

Head to the link in bio to read all about it!

--
#oceandefenders #debrisfreesea #maui #divemaui #corals #coral #oceancleanup #oceandebris #ghostgear #diving #scubadiving #divelife #uwphotos #marinelife #marineconservartion #nobluenogreen"
106,"64lbs of trash in the books from our beach cleanup yesterday. thanks to everyone who joined and volunteered. @hofstrasoftball and @hofstrawten had a friendly competition to see who could fill more bags. welcome back anytime🤙🏼 see everyone this saturday at our next event

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
107,"Happy World Octopus Day 🐙

Did you know the Giant Pacific Octopus is the largest and longest living species of octopus? It has been recorded to be able to weigh more than 600 pounds! 🤯  They are also remarkably intelligent and adaptable. Today we celebrate the existence of one of nature's most iconic sea creatures. 🤩 🌊
·
·
·
·
#RockTheOcean #TortugaFest #FortLauderdale #SouthFL #FloridaLife #FtLauderdaleBeach #OceanConservation #SaveTheSea #EcoFriendly #MarineConservation #TurtleConservation #SharkConservation #CoralReefConservation #SaveOurPlanet #LifeOnTheWater #SaltLife #AnotherDayInParadise #SaveTheOcean #OceanCleanUp #WildlifeConservation #ShorelineCleanUp #ReefLife #InstaReef #ReefConservation #ReefPack #CoralReefClub #BeachCleanUp #WorldOctopusDay"
108,"Out we went again to do our part for the environment. 

Results of the clean-up:
Boat 1
dive 1: 85 items, 4.5kg
dive 2: 48 items, 38kg

Boat 2
dive 1: 147 items, 9.7kg
dive 2: 107 items, 5.4kg

Wondering what they comprise? Fishing lines, mineral water bottles, fish cages and lots of metal debris. 

Special thanks to Jackson Square Aviation for the sponsor and our partners @oursingaporereefs and @coastalnatives.sg! Thank you to the guides volunteers and our S.Crews for making the event a success!

We will be back! Join us at our next clean-up!

#oceancleanup #jacksonsquareaviation #oursingaporereefs #coastalnatives #padidiveagainstdebris #padiaware #padi #thesubmersibles #sscuba #adventours"
109,"At 25 July 2022 the operation in the Pacific Ocean reached an exciting
milestone: The Ocean Cleanup has now officially removed more than 100,000 kg
of plastic from the Great Pacific Garbage Patch (GPGP).

Since deployment in August 2021, System 002 (or ""Jenny"") has now collected
101,353 kg of plastic over 45 extractions, sweeping an area of ocean of over
3000km2 - comparable to the size of Luxembourg or Rhode Island. Added to the
7,173 kg of plastic captured by the previous prototype systems, The Ocean
Cleanup has now collected 108,526 kg of plastic from the GPGP - more than
the combined weight of two and a half Boeing 737-800s, or the dry weight of
a space shuttle!

Now the technology is validated, and is ready to move on to the new and
expanded System 03, which is expected to capture plastic at a rate
potentially 10 times higher than System 002 through a combination of
increased size, improved efficiency, and increased uptime. Our transition to
System 03 is starting soon.

Some #3d insights:

As i describes in my last post, it was quite a challenge to get the
Cloth-Rigid body simulation working.

But to fill up the whole retention zone with thousands of plastic waste
parts was on antoher level.

I actually think i can proudly say i never simulated a larger setup than
this one.

Super proud i was able to throw some physix ropes in there too!

Watch out for them! ;-)

#vray #animation #3dsmax #fluidsimulation #simulation #project #technology
#plastikmüll #plasticwaste #phoenixfd #simulation #fluidsimulation #pacificocean #greatpacificgarbagepatch #oceancleanup"
110,"For the month of October2022, anyone who gets preapproved and any new agents we work with will receive a @4ocean Ocean Sunfish bracelet to pull a pound of trash from the ocean, rivers and coastlines while raising awareness of the effects plastic pollution has on these rare fishes.⁠
⁠
Fun Fact:⁠ They're the heaviest bony fish in the world, weighing on average over 2,000 pounds. They can grow over 10 feet long and more than 8 feet from fin to fin.⁠
⁠
#MoreThanMortgages #OceanSunfish #PlasticFree #4ocean #NewAgents #Preapproved #OceanCleanUp #SaveOurSeas #ClimateChange #SaveThePlanet #SamaritanMortgageGroup"
111,"Help the @4ocean team keep our oceans clean by personalizing your design with a 4ocean plastic. ♻️ 

You can help recover 1lb of plastic & more with every design you customize. 💙"
112,"Beach Clean Up - Clean Up No. 48
Location: Pantai Beserah
Date: 2.10.2022 

Trash collected: 
Mostly single use plastic bottles, cups & food containers, glass bottles, balloons, polystyrene, rope & used diapers 

Weight of trash: 60.5 kg 

Number of heroes: 10 adults (and a kitten!) 

Sponsors: 
@mandurahkuantan
Thank you for having lent us your weighing scales to weigh the trash collected and also for allowing us to use your bin area & to Pn. Ain for getting the word out to all the staff volunteers today. 

Fabulous volunteers and Mandurah Hotel staff joined the clean up at Beserah Beach today. There was a lot of plastic waste and picnic waste left on the beach. Also a lot of old trash washed in by the tide. 

A couple of kids (a 4 year old and a toddler) saw us cleaning and walked up to us with their father in tow to help 🥰👍. If they can do it, you can too!

Together, we can make a difference! 

If you would like to volunteer at our next clean up, look out for updates on our IG or FB page. If you would like to sponsor bags, pickers or tshirts for our volunteers (or anything else which may aid our clean ups), please drop us a message. Thank you 🙏 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #savetheenvironment #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #wirakebersihan #pantaitimur #kuantan #beserahbeach #pantaibeserah #mandurahhotel #mandurah #trashherokuantan #trashheromalaysia #trashheroworld #trashherokids"
113,"The Ocean Cleanup: tecnología de limpieza marina 🚯🌊

The Ocean Cleanup ha realizado 2 limpiezas marinas, es por eso que para librar al océano de su mayor masa de contaminación, la organización lanza su tercera y más eficiente tecnología de limpieza marina. 

El Gran Parche de Basura del Pacífico (GPGP por sus siglas en inglés) es una gigantesca masa de plástico, redes de pesca y otros desechos no biodegradables fabricados por el hombre que se extiende por el océano entre California y Hawai. Se calcula que su tamaño total es de 1.6 millones de km2 en todo el Océano Pacífico y lleva décadas causando estragos en animales marinos como ballenas, delfines, tortugas, mantas y otros peces. 

Hasta hoy, no ha sido fácil detener su crecimiento, ya que cada año se vierten unos 12 millones de toneladas de plástico en los océanos.

En julio de este año, The Ocean Cleanup informó de que ya habían recogido 108 mil 526 kg de plástico del GPGP utilizando el Sistema 002, esto es aún más que el peso combinado de 2.5 aviones Boeing 737. 

#oceancleanup #noticias #limpiezamarina #medioambiente"
114,"What can 50+ volunteers with a purpose achieve?!

Our ODA Hawaii crew teamed up with Kona Honu Divers & Jack’s Diving Locker for an excellent clean-up. 

Our volunteers totaled 1,000 pounds of debris in just a couple hours!

Head to the link in bio to read about the clean-up AND see an incredible collection of photos that were taken!

--
#oceandefenders #debrisfreesea #hawaii #oceancleanup#fishingrope #ghostgear #brilliant #cleanup #marineconservation #sealife #saveourseas #turningthetide #plasticocean #plasticpollution #solution #nobluenogreen #oceanlove"
115,"Earlier this month a dedicated team of citizens from Townsville, Guthalungra, Bowen and Airlie got together at Kings Beach in Bowen for a macro and macro debris cleanup. 

Our team of 8 collected 12.5kg of trash including 74 lids, 577 pieces of plastic remnants, some fishing equipment, boat parts and some microplastics across 800mtrs of beach! Once again hatched turtle eggs were found on this beach which ultimately is why we think it's important to cleanup our beaches.

All data will be uploaded to @tangaroablue 's Australian Marine Debris Initiative and microplastics (more than 5mm in size) sent to @ausmap_au 

Thanks to the Reef Check Australia team who volunteered their time and of course our 4 legged mascot for the day. This project has received funding support from the Queensland Government’s Community Sustainability Action grant program.

Want to join in the next event? 
Sign up to receive our Enews letter and follow us on socials for regular updates and event locations! 

Our next event in North Queensland will be next weekend (Sunday 2nd Oct) at Forrest Beach. Get in touch with jenni@reefcheckaustralia to get involved!

#beachcleanup #oceancleanup #cleanuptheworld #cleanupcrew #climatechangesolutions #togetherforouroceans #volunteertoprotect #learnmoretodomore #everybitcounts #saveourreefs #marinelife #allhandsondeck #marineconservation #saveouroceans #teamwork #reefcheckaustralia #townsville #bowen #airliebeach #guthalungra"
116,"Reposted from @theoceancleanup We expect to be able to clean the entire Great Pacific Garbage Patch (containing 100,000,000 kg of plastic) using ten systems based on System 03.

Note: this is an animation, not real footage. 
#ocean #oceanconservation #oceancleanup #water #oceanplastic #plasticocean #microplastics"
117,"67lbs of trash, one bicycle and several pieces of the boardwalk benches removed from our beach yesterday. thank you to all of our volunteers that came to help. we host a beach cleanup every weekend now through mid-november. see everyone next weekend🤙🏼

.
.
.
#lbcleanup #longbeachny #citybythesea  #volunteer #makeadifference #lbny #cleanup #longbeach #longislandlife #11561 #lbny11561 #nassaucounty #pointlookoutny #coastalcleanup #oceanconservation #beachvibes #longislandny #longisland #lbnynotcalifornia #sunsets #longbeachnynotcalifornia #oceancleanup #oceanlovers #beachcleanup #atlanticbeachny #discoverlongisland #longislandbeaches"
118,"Every second a grand piano worth of plastic pollution enters the ocean! 

That’s 415 kilos or 914 pounds of plastic per second! 
🚨⏰🚨

#recycle #recycled #recycling #recycledmaterials #recycledart #art #abstractart #contemporaryart #artwork #aiart #aiartists #dalle2 #zerowaste #beachcleanup #beachpollution #oceancleanup #oceanpollution #plastic #plasticpollution #plasticreuse #plasticfree #litter #savetheplanet #savetheocean #savethewhales #savetheturtles #ai #artificialintelligence #redetec3d"
