,caption
195,"Thank you to all who attended YPN's Cleanup event today, organized with the assistance of Surfrider Florida Keys Chapter. We had a great turnout of around 30 people and surpassed our volunteer goal of 20. Together, in less than 3 hours, we collected nearly 600 lbs of trash from the Tea Table/Indian Fills area in Islamorada. Photo dump #1

#cleanupfloridawaters
#YPN #GiveMoreBack"
196,"14 days of fishing for ghostnets on Langeland are over and it was a complete success 💙 Crazy, how quickly the time has passed!?⁠
⁠
Our catch: A lot of net material, a long gill net and about 60 kg of fishing lures and fishing lead 💪 ⁠
⁠
📸 Benjamin, Joachim, Hubert, Rüdiger, Pia, Manni⁠
_____________________⁠
Eine 14 tägige Netz-Jagt auf Langeland ist zu Ende und war ein voller Erfolg 💙 Wie schnell die Zeit doch vergangen ist!?⁠
⁠
Unsere Ausbeute: Viel Netzmaterial, ein langes Kiemennetz und etwa 60 kg Angelköder und Angelblei 💪 ⁠
⁠
📸 Benjamin, Joachim, Hubert, Rüdiger, Pia, Manni⁠
.⁠
.⁠
.⁠
#oeoo #oneearthoneocean #ghostnets #ghostnetfishing #fischernetz #fishingnet #savetheseas #plasticfree #ecofriendly #sustainable #gogreen #plasticpollution #ocean #marineplastic #plasticpollutes #oceanconservation #savetheocean #oceancleanup #savetheplanet #marinelitter #plasticocean #beachcleanup"
197,"Our Coorong cleanup This week around mundoo island, Kim and I used our small boat “OCA4” to get into 3 shallow water location we’ve not been able to get our larger vessel “OCA3” into due to it’s deeper draft. 
Over 7 hours we were able to successfully removed 126 kilograms worth of rubbish from the Coorong before it entered the southern ocean. 
Special thanks to @yamahaoutboardsaus for making this possible.

#beachbushmarine #yamaharightwaters 
#coorongcleanup #oceancleanup #coorong #lookaftercountry #australia #respectnature #yamaha #oca4 #ocasack"
198,"How a shirt can make a difference......
Until Sunday midnight, each order in our store funds the recovery and recycling of 1kg ocean- bound plastic. 
All shirts are printed on soft organic cotton in a renewable energy powered factory. Delivered in plastic free packaging. No code needed.
#oceancleanup #oceanplastic #plasticfreeoceans #plasticfreeseas #plasticfreeliving #plasticpollution #climateemergency #ukfashion #ukclothingbrands #organicclothinguk #sustainablebusinessuk #ukvegans #veganfashion #oceanwaves #sustainableclothing #climatechangeawareness #cleanfashion #ethicalfashion #sustainablegifts #sustainableclothing #givebacktonature #teemillstore #consciousfashion #consciousconsumer #buylesschoosewell #usefulgifts #plasticfreeliving #plasticfreejuly #plasticsoup #forthenextgeneration"
199,"The IBSS-PMDP Team is now over two weeks into the first cleanup of the season and has successfully removed 57,665 pounds of ghost nets from the reefs of Kamokuokamohoaliʻi (Maro Reef) and the shorelines of Kamole! That’s equivalent to 55 grand pianos!

Follow their progress here: http://ow.ly/M1PI50K1ttp

#OceanCleanup #PlasticFreeJuly"
200,"Our brand new ‘Ocean Wave’ is a perfect combination of good graphic design and climate change awareness. This awesome design was made in 1967 by Dietmar Winkler, for a joint study program oceanography.
Timeless design printed on soft organic cotton and a great addition to your sustainable wardrobe.
This weekend, from 9am Friday to midnight Sunday, every order funds the recovery of 1kg of ocean-bound plastic. No code needed. Plastic free packaging.
Good for you and good for the ocean!
#oceanlover #oceanwaves #oceanwave #graphicdesign #oceancleanup #cleanoceans #plasticfreeoceans #sustainablegifts #ethicalgifts #organicclothinguk #sustainablebusinessuk #ecobusinessuk #ukfashion #veganbusinessuk #ukvegan #sustainableliving #sustainablefashion #sustainablefuture #climatechange #sustainabledesign #sustainableclothing #sustainablebusiness #oceanlife #oceanplastic #ethicalfashion #ethicalbrand #climatecrisis #climateemergency #oceanconservation #oceanography"
201,"#collectandprotect - Weekend Clean Up - Week 27 ♻️🌍

- 2,1kg plastic
- 1 h
- 3 km 

#sweden #sverige #öland #beach #beachcleanup #oceancleanup #oceanlover #protecttheocean #cleanupchallenge #bethechange #takeaction #makeadiffrence #greenfuture #reduceplasticwaste #stopplasticpollution #stopplastic #noplastic #plasticfree #plasticfreejuly #plogging #ploggingrun #stoplittering #müllsammeln #nature #keepnatureclean #naturschutz #umweltschutz #climatechange #globalwarming"
202,"The final countdown from the cleanup last weekend for PADI Women’s Dive Day - Little Manly 

Food packaging: 732
Drinking (Bottle cans, cups, caps, lids): 463
Straws: 154
Construction: 132
Personal care: 109
Lollipop sticks: 87
Fishing: 74
Sushi fish: 46
Smoking: 36
Balloons: 15
PLUS 15.3 kilograms of soft plastic 
😵😵😵😵😵

Take all the trash.

Leave only nature. ❤️🦈🐠

#underwaterbeehive #sydneycleanupcommunity #seabees #beabee #binit #freedive #scubadiver #underwatercleanup #sustainablelifestyle #everydayisearthday #everydayisoceanday #protecttheturtles #eliminateplastic #cleanupcommunity #keepitclean #loveyourlocal #oceancleanup #diveforgood #padiaware #padiwomensdiveday #cleanupcollab #immersiafreediving #pittwaterecoadventures #ecoadventurecrew #littlemanly #beachcleanup"
203,"Collecting trash where others go on vacation 🏝️⁠
⁠
A total of 9 volunteers recently collected almost 22 kg of waste on Sylt. Among the garbage we found some very exotic items, such as a broken beach shell or a laptop table. There were also many plastic parts and cigarette butts (as always).⁠
_____________⁠
Müllsammeln, wo andere Urlaub machen 🏝️⁠
⁠
Knapp 22 Kg Müll haben insgesamt 9 Helfer*innen vor kurzem auf Sylt gesammelt. Darunter waren teilweise sehr exotische Funde wie eine kaputte Strandmuschel oder ein Laptoptisch. Ordentlich viele Plastikteile und Kippenstummel (wie immer) waren auch dabei.⁠
.⁠
.⁠
.⁠
#oeoo #oneearthoneocean #sylt #beachcleanup #cleanup #saveourocean #cleanbeaches #plasticpollution #oceancleanup #plasticfreeoceans #endplasticpollution #savetheocean #plastikmüll #oceanconservation⁠
#savetheplanet #reduce #recycle #plasticfree #noplastic #reducereuserecycle"
204,"Did you know that seals evolved from land-based bears or otter-like creatures?

Nowadays seals spend the majority of their life in the water. They can hold their breath for up to 2 hours and even sleep in the water. The only time you’ll see one come to shore is if they are escaping predators, mating, giving birth, or to moult.

There are 33 species of seals in the world. The smallest is the Galapagos Fur Seal weighing less than 100 pounds. The largest is the Elephant Seal which can weigh almost 9,000 pounds!

They seem like they are playful creatures, but they actually can be quite aggressive and territorial. In New Zealand, a local Elephant Seal named Homer would cause havoc around town by tipping over parked cars. His aggressive rubbing on the vehicles was chalked up to just some misguided sexual advances.

Seals were hunted for years before they became highly protected mammals in most parts of the world. Now seals face a different foe, plastic. Seals unknowingly ingest microplastic that pollutes our oceans. Plastic increases their chance of disease and affects their reproduction. After ingesting enough of it they can suffer for months before passing away. 

The time to do something about our plastic use started decades ago. Now though it is becoming easier and easier to find safe plastic alternatives.

Double tap if you want to save the seals. You can also follow @ekonova_official for more interesting animal facts."
205,"See what our PMDP staff have been up to! On day four of their marine debris cleanup journey, they were able to survey new reefs not yet charted by NOAA. They then removed 7,090 lbs of marine debris from these reefs. That’s making history and a difference. Way to go team!

Follow their progress here: http://ow.ly/K8xj50JX6rg

#marinedebris #poweredbyexcellence #ibsscorp #hawaii #oceancleanup"
206,"Thinking of giving away free samples with every 1lb purchase the whole month of August. What do you guys think? I think yum. ☕️

#smallcoffeebusiness #michigancoffee #michigansmallbusiness #oceancleanup #smallbusinesssupport #lakecleanup #seacreatures #michiganmade #mythologicalseacreatures #theabysscoffeeco #lakeside #beachvibes #oceanvibes"
207,"2 hours = ~10kg of trash. Again mostly plastic and glass. Some of which has been thrown down the freeway bridge.

#nabu #oceancleanup #instagram #nature #naturelovers"
208,"Hit the honey hole, of lead! 😅

3 pounds can really weigh you down, I had to swim in for a dump 😹
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#oceanfinds #fishingleads #oceantreasures #hawaiibeaches #protecttheoceans #reducereuse #beachcleanup #oceancleanup #supportsustainability #hawaiilife #divinglife #coneshells #hawaiiseashells #iloveshells"
209,"Very successful weekend! In 2 days we removed OVER 400 lbs of trash from the Texas coastline.  It's so rewarding to see your actions make an impact and help local wildlife. 

Like and follow for future cleanup events. 

#beachcleanup #oceancleanup #bethechange #texascoast #makeanimpact #coastline #giveback #savetheocean  #savethereefs #jewelryforacause #makeadifference #supportchange #ethicaljewelry"
210,"I’m sure this photo of Lynn, PBC’s President dumpster diving on JUly 5th gives you some motivation this Monday to take action for our earth! 

Combined, the weekend before July 4th, and on July 5th PBC volunteers and other groups picked up roughly 3,917 lbs of waste, 4,418 cigarette butts, and 57 lbs of recycling! 

Thank you to the roughly 300 volunteers who made sure these materials didn’t reach our ocean.

Join us this weekend at Linda Mar and Esplanade to finish off the job! 

More information is available by clicking the “Post July 4th Cleanups” tab in our bio’s link.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #motivationmonday"
211,"Beach Clean Up - Clean Up No. 43
Location/Lokasi: Pantai Beserah
Date/Tarikh: 11.7.2022 

Trash collected/Sampah yang dikutip: 
4 bags mixed waste 

Mostly single use plastic bags, food wrappers, disposable face masks, rope 

Kebanyakkan sampah adalah beg plastik sekali guna, bungkusan makanan, pelitup muka sekali guna, tali 

Weight of trash/Berat sampah:
32.46 kg

Sponsors: Mandurah Hotel - Thank You for the bin area! Terima Kasih bagi kami gunakan tempat pelupusan sampah di hotel. 

Number of heroes/Bilangan wira: 2 

Decided we'd do a Raya clean up this long weekend. Picnic goers come to enjoy the beach, but many leave their trash everywhere. We try to make a difference by cleaning up THEIR trash. 

Kami telah membuat clean up sempena Hari Raya Aidiladha. Orang ramai datang berkelah, tapi ramai biarkan je sampah mereka begitu saja. Kami cuba membawa perubahan dengan membersihkan sampah mereka. 

STOP LITTERING. 
BUANG SAMPAH DI TONG SAMPAH. 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #kesedaran #wirakebersihan #pantaitimur #kuantan #aidiladha #pantaipelindung #pantaibeserah #pantaisepat #pantaibalok #telukcempedak #trashherokuantan #trashheromalaysia #trashheroworld"
212,"Beach Clean Up - Clean Up No. 43
Location/Lokasi: Pantai Beserah
Date/Tarikh: 11.7.2022 

Trash collected/Sampah yang dikutip: 
4 bags mixed waste 

Mostly single use plastic bags, food wrappers, disposable face masks, rope, used diapers

Kebanyakkan sampah adalah beg plastik sekali guna, bungkusan makanan, pelitup muka sekali guna, tali, lampin bayi

Weight of trash/Berat sampah:
32.46 kg

Sponsors: 
Mandurah Hotel - Thank You for the bin area! Terima Kasih bagi kami gunakan tempat pelupusan sampah di hotel. 

Number of heroes/Bilangan wira: 2 

Decided we'd do a Raya clean up this long weekend. Picnic goers come to enjoy the beach, but many leave their trash everywhere. We try to make a difference by cleaning up THEIR trash. 

Kami telah membuat clean up sempena Hari Raya Aidiladha. Orang ramai datang berkelah, tapi ramai biarkan je sampah mereka begitu saja. Kami cuba membawa perubahan dengan membersihkan sampah mereka. 

STOP LITTERING. 
BUANG SAMPAH DI TONG SAMPAH. 

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic #stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #kutipsampah #sukarelawan #alamsekitar #kesedaran #wirakebersihan #pantaitimur #kuantan #pantaipelindung #pantaibeserah #pantaisepat #pantaibalok #telukcempedak #trashherokuantan #trashheromalaysia #trashheroworld"
213,"#collectandprotect - Weekend Clean Up - Week 26 ♻️🌍

- 1,9 kg plastic trash
- 1 h
- 3 km

#sweden #borgholm #sverige #cleanup
#cleanupchallenge #cleanupthebeach #beachcleanup #oceancleanup #oceancleanupproject #weekend #weekendvibes #weekendcleaning #maketheworldabetterplace #takeaction #bethechange #makeadifference #plastickills #reduceplastic #noplastic #stopplastic #stopplasticpollution #thereisnoplanetb #climatechange #globalwarming #plasticfree #müllsammeln #naturschutz #plogging #ploggingrun"
214,"... This could add up to 110 pounds of plastic trash for every meter of coastline worldwide, amounting up to 29 million metric tons of plastic waste per year by 2040.

But experts say that the volume could be slashed significantly if we reduce the growth of virgin plastic production, improve waste collection systems across the globe, and invest in the creation of plastic materials that are easier to recycle. ♻️

Credits @earthorg

#thebluerthebetter #savetheocean #oceanplastic #oceancleanup #plasticfreeoceans #plastic #plasticpollution #plasticfree #oceancleanupproject #greece #greekbeaches #poros #ocean #oceanlover #cleaneroceans #projectoceancleanup #oceanplasticsucks"
215,"Some snapshots from the last month ♡
Sailed to the easternmost point in Norway to spend a few months cleaning the coast from marine waste with @inthesameboat.eco 🌱 They have trusted be enough to let me lead my own team, and we are currently the northernmost plastic-cleaning operation in the world! With a crew of 8 volunteer cleaners from all over the world, we have removed 25.000 kg of marine waste so far this season. We are still going strong, and I'm curious to see if we can beat last year's record of 50k 💙

Want to know more about our work, or apply for volunteering? Head over to @inthesameboat.eco

My amazing team: @tomantle @renae.desrochers @_zoe.b_ @i.am.wilk @tooonetodok @mariakristians1 @mcos_1 @elineelbersen @george.kendall

#plasticfreeoceans #oceancleanup #beachcleaning #lifeinthearctic #arcticcircle"
216,@4ocean Beach cleanup during the Crossing for Cystic Fibrosis…great pull of over 1000 lbs in 1.5 hours👏🏻👏🏻 #oceancleanup #x4cf2022
217,"Today we cleaned up 209lbs of trash from Oakland Beach in Warwick! A huge thank you to  Save The Bay - Narragansett Bay for having me out to volunteer as Beach Captain. Thank you to Citizens Bank, BD and all the cleanup volunteers who came out to help. We will be doing more of these in the future so stay tuned for more opportunities to sign up and help keep our beaches clean!

#savethebay #Narragansett #savethebayri #mermaidjessiejewels #finfolk #oceancleanup #beachcleanup #savebay #savethefishies #missmermaidusa #missmermaidri"
218,"In honor of Clean Beaches Week, we’re throwing it back to our Beach Cleanup! Partnered with @OceanConservancy, our team of volunteers was able to gather 47 pounds of trash from the beach at St. Simons Island.
.
.
.
#SeaPakSeafood #SeaPak #OceanCleanUp #CleanBeachesWeek"
219,"Thank you for the AMAZING turn out today!!! 72.5lbs of waste off our beaches and streets! We are absolutely blown away and are so grateful for such an amazing community!

Shoutout to our first place winners Emma and Jada bringing in 25.5lbs of waste!

#cayucos #beach #cleanup #beachcleanup #recycle #reducewaste #trash #savetheocean #oceancleanup #keepitclean #4thofjuly"
220,"Beach Clean Up - Clean Up No. 42
Location/Lokasi: Pantai Pelindung
Date/Tarikh: 2.7.2022 

Trash collected/Sampah yang dikutip: 
7 bags mixed waste
2 bags recyclables 

Mostly plastic bottles, food wrappers, cans, plastic straws, disposable face masks, rope, cigarette butts (and a number of used diapers!) 

Kebanyakkan sampah adalah botol plastik, bungkusan makanan, tin minuman, straw plastik, pelitup muka sekali guna, tali, puntung rokok (dan ada juga lampin bayi yg kotor!) 

Weight of trash/Berat sampah:
Approximately 38 kg
Anggaran 38 kg 

Sponsors: Thank you KayShoun for the bags and cloth gloves & to volunteers Lukman & Azlin for bringing us sturdy pickers today! We appreciate it very much! 

Number of heroes/Bilangan wira: Total 11 - 9 adults, 1 pre-teen, 1 toddler 💛 

Today, there were a number of leftover barbeque grills and coal strewn across the beach. Picnic waste too. Do enjoy the beach. But PLEASE,  clean up after yourselves.

A big shoutout to all our New Heroes & Volunteers : Lukman, Azlin, Ana, Wani & Qaseh & the Team from Trash Hero Mersing - Jelita, Ruby, Rohani & Aziz. Not forgetting co-leader & wingwoman, Syaz! 

It was a fulfilling one despite the light fading quickly towards the end! Thank you all 🙌 

*** 

Hari ini, terdapat banyak sisa barbeku dibuang begitu saja di sekitar pantai. Sisa piknik pun ada. Kita semua nak bersantai di pantai.Tapi, TOLONGLAH, bersihkan pantai sebelum balik dan buang sampah anda di tempat sepatutnya. 

Semua Sukarelawan & Hero² Baru kami sangat dialu-alukan: Lukman, Azlin, Ana, Wani & Qaseh & juga Team dari Trash Hero Mersing - Jelita, Ruby, Rohani & Aziz. Dan tidak dilupai co-leader & geng setia, Syaz! 

Sesi clean up yg sangat menggalakkan walaupun matahari dah cepat terbenam. Terima kasih semua 🙌 

Hope to see you all at the next clean up. Together, we #makeadifference. 
Sama² kita membawa perubahan.

#stoplittering #litterpick #environment #awareness #wastedisposal #responsibledisposal #nosingleuseplastic
#stopplasticpollution #sustainability #ecowarriors #ecovolunteers #eastcoast #beachcleanup #oceancleanup #pantaitimur #kutipsampah #kudah #eastcoast #kuantan #pantaipelindung"
221,"How many pounds of trash did Team Surfer’s Beach retrieve this past weekend? Write your guess in the comments! 
.
.
.
.
Well. . . 48 volunteers collected 672 cigarette butts, 10 pounds of recyclables, AND 45 pounds of trash! 

Be sure to check our monthly calendar to join this weekend’s cleanups or another one! Check the “Monthly Cleanup” tab via the link in our bio.
.
.
.
.
#trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #pacifica #plasticpollution #savetheocean"
222,"Would you spend the time it takes to dig out a tire at your local shoreline? Well, let these wonderful Earth Heroes inspire you to do the same! Let this be a bit of motivation this Monday! 

On June 19th in Foster City, 30 lbs of trash, a tire, a broken chair, a mat, and a table base were collected, alongside 10 lbs recycling and a Xmas tree base. In addition, about 610 cigarette butts were collected! Wow! Fantastic job! 

Check our calendar for the next cleanup event by clicking the “Monthly Cleanup” tab in our bio to register online, this helps save time and paper!
.
.
.
.
#motivationmonday #trashpicking #saveouroceans #keeptheseaplasticfree #bayareabeaches #cleantown #helpourbeach #saynotoplastic #oceanconservation #cleanupcommunity #sanmateocounty #cleanearth #marinelitter #beachcleaning #keepourbeachesclean #beachtrash #littercleanup #oceanpollution #oceancleanup #oceanplastic #plasticpollutes #plasticocean #beachcleanup #breakfreefromplastic #loveearth #marineconservation #plasticpollution #savetheocean"
223,"The day’s amazing cleanup crew! Awesome dives protecting the ocean with these environmental stewards. Although there’s still plenty of fishing line and marine debris to still remove down there, this incredible team was able clean up almost 150lbs of marine debris (146lbs to be exact) off the living reef at #KukuiulaHarbor. So many of us utilize that harbor and the ocean in general (many for their own livelihoods), and the more people take from nature, we believe the more should be put back into nature. Such is why we are so grateful for organizations like @kauaioceanawareness @coordenadasremotas and @seasportdivers that see the value in protecting the natural resources and the organisms that live in them. #Sustainability (according to Webster) means: of, relating to, or being a method of harvesting or using a resource so that the resource is not depleted or permanently damaged. We can all make sustainable choices in our everyday actions to live with rather than above nature. We have our ancestors to thank for the natural resources we still get to enjoy today, so what will future generations thank us for when we are considered the ancestors? #Hoomalukekai #TakeCareOfNatureAndItWillTakeCareOfYou 
 
 
#ProtectTheOcean #ProtectWhatYouLove #DiveForDebris #OceanCleanup #CoastalCleanup #MarineDebris #GhostNets #SaveOurSeas #WorldOceanDayIsEveryDay #KauaiOceanAwareness #SeasportDivers #MalamaKeKai #MalamaAina #Lokahi #Kokua #SustainableLiving #Kauai #Hawaii"
224,"We are excited to collaborate with the staff at Ka’ehu to learn more about and help restore #kaehubay @malama_kaehu 

Our collaboration started with teaching the staff to #scubadive and after certification we did an #oceancleanup dive! 25 lbs in 30 minutes! So proud of these new #underwatersuperheros #diveagainstdebris 

#maui #mauihawaii #teamworkmakesthedreamwork #giveback #supportyourcommunity #savetheocean #protecttheocean #worktogether"
225,Whopping 300kg of #ocean bound #plastic collected along the River Thames with help from team @bayerofficial. 🌊#riverthames #oceancleanup #bigblueoceancleanup
226,"I have so many photos of birds and plants from my trip to Flamingo Gardens today, but I also fell in love with the art! “10 sculpture displays of sea creatures and Everglades’ wildlife use over 1000 pounds of trash found on the Hollywood and Fort Lauderdale beaches and other reclaimed plastics. Free Our Seas and Beyond provides a visually stunning platform for environmental educational while highlighting the importance of ocean conservation and our interconnectedness.” (from their website). These sculptures are really beautiful and share such an important message. The tooth brush teeth on the gator really got me. Created by artists Kurt & Manon Weise."
227,"Walruses can reach up to almost 12 feet in length and weigh over 3,000 pounds!
 
Both the female and male walruses have tusks. They use them to crawl up on the ice and defend themselves against predators and other walruses.
 
Walruses are very social creatures and can amass in the 1000s during mating season. They are very susceptible to disturbance and noise which can cause walrus to stampede back to the water. Definitely wouldn’t want to get in the way of that charge, especially considering that a walrus can match the running speed of a human! 
 
Climate change is the biggest threat to walruses because as the ice melts they are losing their habitat. Surprisingly plastic pollution is being used to save these creatures. Scientists are reclaiming debris from the Great Pacific Garbage Patch and using it as artificial ice flows for walruses, seals, and polar bears.
 
While we are all for creative uses for our ocean plastic pollution, that doesn’t mean that the problem is solved. Plastic pollution still causes a heavy threat to most marine life. Please avoid the use of single-use plastics and recycle whenever possible.
 
What is the most creative use of recycled materials you have ever seen?
 
Follow @ekonova_official for more facts about marine life and plastic alternatives."
228,"We have some BIG news!!! 

We have officially partnered with @4ocean to become a certified clean up partner!! 🌊🌊

What does this mean? It means that we have committed to pulling 10,000 pounds of trash / plastics from our oceans over the next calendar year. We aim to create as much impact as possible and this partnership allows us to do so. 

The more you support us in purchasing our products the more trash we aim to commit to cleaning up. This way not only are we using bottles in our products but extending that impact with our business partnerships as well and cleaning our oceans. 

We couldnt be more excited about this partnership!!!

#recycledclothing #4ocean #reishoreclothing #reishore #oceancleanup"
229,"WAVES vets headed out to Ball Buoy Reef in @Biscayne National Park to do some diving & debris removal. They pulled up 875 lbs. of debris in 2 dives, beating last years total by 288 lbs. Great way to start the mission. #missionblue #womenveterans #veterans #nps #oceancleanup"
230,"Today we celebrate the International Yoga day by giving you 20% discount on our Yoga mats & props. Use code: YOGADAY20 

Practice yoga with the planet in mind by choosing our eco - friendly, sustainable and quality yoga products.

➡️ For every purchase of our 'mindful yoga mat' made from recycled plastic bottles, we contribute to clean 2,5 kilograms (kg) of plastic, or the equivalent of 200 PET bottles, in collaboration with @empowerplastic 

Happy international Yoga day 🙏🏻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀

Photo by: @laicho_creative 
 

⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀
#yogamat #recycledpetbottles #recycledpet #yogainspiration #yoga #yogalifesyle #yogaformen #yogapractice #recycledfashion #recycle #plasticcleanup #forouroceans #forourfuture #ecoconscious #ecofriendly #ecofriendlyliving #careforourplanet #shopmindfully #mindfulconsumption #mindfulmovement #mindfulness #mindfulliving #mindful #mindfulnesspractice #yogaday #internationalyogaday #yogatransformation #oceancleanup #plasticocean #cleanup"
231,"10kg of garbage collected in less than 1h at #praiadeleça 😬😬 we have to do better ☝🏼♻️🏄

@catarina_queiroga @tobe_am @_miguelblanco_ @ratusfar_i 

@surfriderporto @surfrider @58surf @nixon.portugal @ajudealimparapraia @ripcurlportugal @norterocks @camaramunicipaldematosinhos 

#internationalsurfingday #idomypart #thebeachbelongstoeveryone #oceancleanup #beachcleanup #younggeneration #oceanplastic #polutionsucks 

#praiadeleça #matosinhosportugal"
232,"We wanted to let you know that CleanHub just recovered 25% of our plastic collection goal - Hooray!🎉🎉

That's 627 kg of non-recyclable plastic that will never end up in our oceans.

Don't worry, they're not done yet - they'll keep going until reach our target of 2,500 kg.

#globalrecyclingday #recyclingday #recycling #plastic #plasticwaste #cleanrivers #cleanoceans #cleanup #oceancleanup #climateaction #ACTNOW #closetheloop #circulareconomy #plasticpollution #antiaging #antiagingskincare #antiagingproducts #antiagingtreatment #antiagingserum #antiwrinkle #antiwrinkles #antiwrinkletreatment #antiwrinklecream #dermaroller #dermarollertreatment #microneedling #microneedlingtherapy #microneedlingtreatment #microneedlingfacial #collagen"
233,"(Mel here!) A BIG THANK YOU to the Lamar University Students that collected over 100lb (45kg) of garbage from our reef crest this morning!! Check out their very creative puns! Which one is your favourite??
1. ""Step it up, reduce plastic pollution!""
2. ""Don't be sour and dirty our reef!""
3. ""Let's ~TACO~ about plastic pollution!""
4. ""Don't just keep yourself clean, keep the oceans clean!""

#OceanCleanUp #Belize #TobaccoCaye #LamarUniversity #ReefCleaning"
234,"20,000 pounds and one wild story. That is what we brought back from Katmai on this expedition to remove Marine Debris from one of the last truly wild places on earth. 

I am still processing it all myself, so it might take me a week or so to share but I can hardly wait to see where this story leads. 

Thanks for all the support @oceanplasticsrecovery @patagonia_trailrunning @nnormal_official @arttoolkit @hahnemuehle_global"
235,"Great work by @cleanthisbeachup
•
This is what “Drains To Ocean” Means 🌊🚯
•
465 lbs of land based litter pulled out of our bay today! Our storm drain systems do not have a filter, everything on the streets ends up in our waterways! Please stop littering, find a trash can or take your trash with you. #SaveBiscayneBay 🙏
•
We have reported this site many times and as concerned residents we take the time to clean it up, but our efforts can only go so far unless we tackle the issue from its source. We need drainage nets for all these outfalls, not in 10 years, not in 5 years, we need them now. @irelabague @mayordlc @francissuarez @mayordangelber @kenrussellforflorida @stopworldpollution @miamidadecounty 
.
.
.
.
.
.
.
#cleanthisbeachup #cleanthisbeachupmiami #biscaynebay #oceancleanup #trashgang #cleanupcrew #singleuseplastic #stoplittering #savethefishies #partyfoul #miamiproblems #miamithingstodo #keepmiamiclean #seagrass #dogoodfeelgood #volunteering #lovewhereyoulive #oceanlovers #worldoceansday #earthdayeveryday #beachaction"
236,"Together, the @obmg cleaned 195lbs of garbage and debris off the South Vancouver Island coastline for #WorldOceansWeek 🌊

#worldoceansweek2022 #obmg #oceancleanup #oakbaymarinegroup #beachcleanup #greatcanadianshorelinecleanup #worldoceansday"
237,"As we wrap up this year’s World Ocean Week, we wanted to say Mahalo Nui Loa to all the protectors of the ocean and environment everywhere! Days like #WorldOceanDay this past Wednesday at #KukuiulaHarbor remind us that although at first glance nature can look beautiful, there is usually something that can be found beneath the surface beauty that may destroy that environment over time without the proper care and mālama. We saw an overwhelming amount of fishing line underwater at the harbor cleaning up and did what we could to untangle the live corals there carefully. We ended up with a haul of almost 130lbs from this awesome cleanup with @seasportdivers, but we estimate at least another 1,000lbs of debris in the harbor exists. Disclaimer to others wanting to go clean up on their own: the tires and other man-made objects that have fixated themselves overtime into the reef and have live coral growing on them were and should always be left alone. We do what we can every day, but imagine if we all took 5-10 minutes out of our days to clean up something in nature that wasn’t ours? Remember that every day our world, ocean, and environment work for us to keep us alive. Why not return that favor? 🙏
#HoomaluKeKai #EveryDayIsWorldOceanDay 
 
 @seasportdivers @worldoceanday @padiaware 
#WorldOceanWeek #PadiAware #DiveAgainstDebris #SeasportDivers #ProtectTheOcean #ProtectWhatYouLove #EarthDayIsEveryDay #MalamaKeKai #MalamaAina #Upcycle #MarineDebris #BeachCleanup #ReefCleanup #OceanCleanup #KeepTheSeaPlasticFree #Poipu #Kauai #Hawaii"
